ProductName,imagelink,productlink,price,maxretailprice,stars,GlobalRatings,5 star ratings,4 star ratings,3 star ratings,2 star ratings,1 star ratings,globalReviews,reviewsLink,Sales Package,Pack of,Brand,Model Number,Quantity,Type,Maximum Shelf Life,HighLights,Model Name,Ayush License Number,Treatment,Food Preference,Form,Prescription Required,Benefits,Dosage,Ingredients,Usage Timings,Dietary Preference,Number of Scoops per Container,Ayurvedic,Container Type,Serving Size,Legal Disclaimer,Composition,Country of Origin,Other Daily Value Features,other_features,Flavor,Nutrient Content,Form Factor,Directions,Outer Material,Surface Type,Holding Time,Power Requirement,Number of Medical Gloves,Size,Material,Color,Other Features,Total no of Pieces,No of Diapers Per Pack,Set of,Ideal For,Weight,Pack Of,Ideal Dosage,Description,Usage Description,Usage Instruction,Side Effects,Ply,Mask Type,Respirator Type,Mounting Type,Suitable For,Straps,Storage Type,Inhalation Valves,Melt Blown Fabric Used,Air Flow Rate,Application Area,Protein Type,Shelf Life,Charging Time,Width,Height,Warranty Summary,Vitamin,Zinc,Other Power Features,Therapeutic Classification,Manufacturer Name,How it Works,Safety Advice,Interaction with Drugs & Food,Under DPCO,Manufacturer License,Storage,Contraindications,Schedule,Calcium,Magnesium,Copper,Manganese,Organic,Storage Instructions,Depth,Minimum Age,Maximum Age,Compatible Baby Weight,Series,Closure Type,Effective Duration,Washable,Convenience and Safety,Scented,Label Size,Character,Design
ZANDU Balm 50 ml (PACK OF 2) Balm  (2 x 50 ml),https://rukminim1.flixcart.com/image/612/612/knexksw0/combo-kit/1/r/i/balm-50-ml-pack-of-2-8901248701396-zandu-original-imag23p36zrhugpf.jpeg?q=70,https://www.flipkart.com/zandu-balm-50-ml-pack-2/p/itm0822f3fd23f0b?pid=BPRG24HTRGW8HYMM&lid=LSTBPRG24HTRGW8HYMMKKB2IT&marketplace=FLIPKART&q=+Health+&store=search.flipkart.com&srno=s_1_23&otracker=search&otracker1=search&fm=organic&iid=fd73e787-df77-4557-b9e0-68b26241a8c3.BPRG24HTRGW8HYMM.SEARCH&ppt=None&ppn=None&ssid=hc2947kq4w0000001680697420292&qH=523c1e17376184e9,240,300,4.5,"4,023 Ratings &363 Reviews","2,679",839,286,98,121,363 Reviews,https://www.flipkart.com/zandu-balm-50-ml-pack-2/product-reviews/itm0822f3fd23f0b?pid=BPRG24HTRGW8HYMM&lid=LSTBPRG24HTRGW8HYMMKKB2IT&marketplace=FLIPKART,Balm Package,2,ZANDU,Not available,100 ml,Not available,36 Months,"[""Application Area: Nose"",""Container Type: Box"",""Form: Balm""]",Balm 50 ml (PACK OF 2),Not available,Not available,Not available,Balm,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Box,Not available,Not available,Not available,India,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Adults,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Nose,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"Revital Men Multivitamin with Calcium, Zinc & Ginseng for Immunity, Strong Bones & Energy  (30 Capsules)",https://rukminim1.flixcart.com/image/612/612/xif0q/vitamin-supplement/z/q/l/-original-imagha3hfepa5wgt.jpeg?q=70,https://www.flipkart.com/revital-men-multivitamin-calcium-zinc-ginseng-immunity-strong-bones-energy/p/itmca54d107002a4?pid=VSLFUCNZG3X83CGX&lid=LSTVSLFUCNZG3X83CGXYTZXP1&marketplace=FLIPKART&q=+Health+&store=search.flipkart.com&srno=s_1_24&otracker=search&otracker1=search&fm=organic&iid=en_g1DNcGCMeDqOGeGs9IZdOotS9%2FRdcD2rFkWMFoq1nCSEd8trWPtKahk1%2Fd4I5s55pF4GDjOd7HXaShzlQm%2BdxQ%3D%3D&ppt=None&ppn=None&ssid=hc2947kq4w0000001680697420292&qH=523c1e17376184e9,264,310,4.3,"18,896 Ratings &1,438 Reviews","11,567","4,301","1,634",566,828,"1,438 Reviews",https://www.flipkart.com/revital-men-multivitamin-calcium-zinc-ginseng-immunity-strong-bones-energy/product-reviews/itmca54d107002a4?pid=VSLFUCNZG3X83CGX&lid=LSTVSLFUCNZG3X83CGXYTZXP1&marketplace=FLIPKART,Not available,Not available,Revital,Not available,30 Capsules,Multi Vitamin,24 Months,"[""Multi Vitamin Supplements"",""Capsules Form"",""Suitable For: Non-vegetarian"",""Pack of 1""]","Men Multivitamin with Calcium, Zinc & Ginseng for Immunity, Strong Bones & Energy",Not available,Not available,Non-vegetarian,Capsules,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,"Flipkart endeavors to ensure the accuracy of the information about the products. It is pertinent to note that, actual product packaging and materials may contain more and/or different information which may include nutritional information/allergen declaration/special instruction for intended use/warning/directions etc. We recommend the consumers to always read the label carefully before using or consuming any products. Please do not solely rely on the information provided on this website. For additional information, please contact the manufacturer.",Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
ALPHA AYURVEDA Sakhi Tone - Ayurvedic Weight Gainer for Women. 500Gm,https://rukminim1.flixcart.com/image/612/612/ku5ufm80/ayurvedic/g/m/t/sakhi-tone-500-gm-1-alpha-ayurveda-original-imag7c8bmcpyth4h.jpeg?q=70,https://www.flipkart.com/alpha-ayurveda-sakhi-tone-ayurvedic-weight-gainer-women-500gm/p/itmaaaf6153e62ac?pid=AYDG7EGJZPYC2EYH&lid=LSTAYDG7EGJZPYC2EYHRUMDN8&marketplace=FLIPKART&q=+Health+&store=search.flipkart.com&srno=s_1_25&otracker=search&otracker1=search&fm=organic&iid=fd73e787-df77-4557-b9e0-68b26241a8c3.AYDG7EGJZPYC2EYH.SEARCH&ppt=None&ppn=None&ssid=hc2947kq4w0000001680697420292&qH=523c1e17376184e9,624,694,4.4,847 Ratings &50 Reviews,568,162,52,22,43,50 Reviews,https://www.flipkart.com/alpha-ayurveda-sakhi-tone-ayurvedic-weight-gainer-women-500gm/product-reviews/itmaaaf6153e62ac?pid=AYDG7EGJZPYC2EYH&lid=LSTAYDG7EGJZPYC2EYHRUMDN8&marketplace=FLIPKART,Not available,1,ALPHA AYURVEDA,Not available,500 g,Not available,24 Months,"[""Quantity: 500 g"",""Form: Malt"",""Ayush License Number: 24/25D/96"",""Treatment: General Wellness""]",Sakhi Tone - Ayurvedic Weight Gainer for Women. 500Gm,24/25D/96,General Wellness,NA,Malt,No,"General Tonic , Increase Beauty, Confidence",10 GM Each morning and night,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"Nutrabay Pure Micronised Creatine Monohydrate | Pre/Post Workout Supplement -100 Gram Creatine  (100 g, Unflavored)",https://rukminim1.flixcart.com/image/612/612/l0sgyvk0/protein-supplement/w/e/c/creatine-pure-micronised-creatine-monohydrate-pre-post-workout-original-imagchwqafg5rc8z.jpeg?q=70,https://www.flipkart.com/nutrabay-pure-micronised-creatine-monohydrate-pre-post-workout-supplement-100-gram/p/itm5c1b903df912a?pid=PSLGCHWQAYZNPQMK&lid=LSTPSLGCHWQAYZNPQMKPWCEIF&marketplace=FLIPKART&q=+Health+&store=search.flipkart.com&srno=s_1_26&otracker=search&otracker1=search&fm=organic&iid=fd73e787-df77-4557-b9e0-68b26241a8c3.PSLGCHWQAYZNPQMK.SEARCH&ppt=None&ppn=None&ssid=hc2947kq4w0000001680697420292&qH=523c1e17376184e9,399,599,4.3,"7,055 Ratings &440 Reviews","4,166","1,638",667,211,373,440 Reviews,https://www.flipkart.com/nutrabay-pure-micronised-creatine-monohydrate-pre-post-workout-supplement-100-gram/product-reviews/itm5c1b903df912a?pid=PSLGCHWQAYZNPQMK&lid=LSTPSLGCHWQAYZNPQMKPWCEIF&marketplace=FLIPKART,Not available,Not available,Nutrabay,NB-NUT-1009-03,100 g,Not available,Not available,"[""Form: Powder"",""Vegetarian"",""Usage As per Requirement"",""Protein Type: Creatine""]",Pure Micronised Creatine Monohydrate | Pre/Post Workout Supplement -100 Gram,Not available,Not available,Vegetarian,Powder,Not available,Not available,Not available,Not available,As per Requirement,Not available,Not available,Not available,Pouch,3 g,"Flipkart endeavors to ensure the accuracy of the information about the products. It is pertinent to note that, actual product packaging and materials may contain more and/or different information which may include nutritional information/allergen declaration/special instruction for intended use/warning/directions etc. We recommend the consumers to always read the label carefully before using or consuming any products. Please do not solely rely on the information provided on this website. For additional information, please contact the manufacturer.",Creatine Monohydrate Micronised Powder,India,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Creatine,18 Months,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"GLUCON-D Instant Tangy Energy Drink  (1 kg, Orange Flavored)",https://rukminim1.flixcart.com/image/612/612/xif0q/energy-sport-drink-mix/w/i/i/1-tangy-orange-refill-sipper-free-1-glucon-d-original-imagnbvy7jcwgdtt.jpeg?q=70,https://www.flipkart.com/glucon-d-instant-tangy-energy-drink/p/itm46e5c699a6262?pid=ESRGN3ZQHQN8Y7PS&lid=LSTESRGN3ZQHQN8Y7PS7BRWMY&marketplace=FLIPKART&q=+Health+&store=search.flipkart.com&srno=s_1_27&otracker=search&otracker1=search&fm=organic&iid=fd73e787-df77-4557-b9e0-68b26241a8c3.ESRGN3ZQHQN8Y7PS.SEARCH&ppt=None&ppn=None&ssid=hc2947kq4w0000001680697420292&qH=523c1e17376184e9,349,380,4.5,114 Ratings &0 Reviews,Not available,Not available,Not available,Not available,Not available,Not available,Not available,"1Pc Glucon-D, 1Pc Sipper",1,GLUCON-D,Not available,1 kg,Energy Drink,15 Months,"[""Quantity: 1 kg"",""Type: Energy Drink"",""Flavor: Orange"",""Form Factor: Powder"",""Food Preference: Vegetarian""]",Instant Tangy,Not available,Not available,Vegetarian,Not available,Not available,Not available,Not available,NA,Not available,Not available,Not available,Not available,Box,Not available,Not available,Not available,Not available,Not available,Not available,Orange,NA,Powder,NA,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
mars by GHC Ayurvedic Testosterone Booster Supplement | Shilajit & Gokshura Capsules for Stamina & Strength,https://rukminim1.flixcart.com/image/612/612/xif0q/ayurvedic/u/j/n/-original-imagzyhngxghhrzy.jpeg?q=70,https://www.flipkart.com/mars-ghc-ayurvedic-testosterone-booster-supplement-shilajit-gokshura-capsules-stamina-strength/p/itm33f3f0c4a6fad?pid=AYDG6C2GMGY4XY3N&lid=LSTAYDG6C2GMGY4XY3N6HFEAT&marketplace=FLIPKART&q=+Health+&store=search.flipkart.com&srno=s_1_28&otracker=search&otracker1=search&fm=organic&iid=en_g1DNcGCMeDqOGeGs9IZdOotS9%2FRdcD2rFkWMFoq1nCS0PKxZ1QITMsRQow9l9cK7GSvWVi9Uuo9I9sLMuC5%2BeA%3D%3D&ppt=None&ppn=None&ssid=hc2947kq4w0000001680697420292&qH=523c1e17376184e9,599,1998,4,"1,889 Ratings &277 Reviews","1,057",351,164,107,210,277 Reviews,https://www.flipkart.com/mars-ghc-ayurvedic-testosterone-booster-supplement-shilajit-gokshura-capsules-stamina-strength/product-reviews/itm33f3f0c4a6fad?pid=AYDG6C2GMGY4XY3N&lid=LSTAYDG6C2GMGY4XY3N6HFEAT&marketplace=FLIPKART,Surge Max Pack of 1,1,mars by GHC,Not available,120 Capsules,Not available,18 Months,"[""Quantity: 120 Capsules"",""Form: Capsules"",""Ayush License Number: 23620030001377"",""Treatment: General Wellness""]",Ayurvedic Testosterone Booster Supplement | Shilajit & Gokshura Capsules for Stamina & Strength,2.362E+13,General Wellness,Vegetarian,Capsules,No,Improve strengthIncrease libido and enduranceIncrease energy levelsIncreases stamina,1 Capsule at time and 2 Tablets a day,Ashwagandhagokshurashilajitsafed muslishatawar,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,"Made up with Natural Ingredients, No any harmful chemicals, Cruelty free, Sulfate free",Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Horlicks Women's Plus Calseal Formula - Caramel Flavour  (400 g),https://rukminim1.flixcart.com/image/612/612/xif0q/milk-drink-mix/d/q/w/-original-imagkzgwke7mrax2.jpeg?q=70,https://www.flipkart.com/horlicks-women-s-plus-calseal-formula-caramel-flavour/p/itmda148e72a3070?pid=MDMEUJWY9ZUXGYSQ&lid=LSTMDMEUJWY9ZUXGYSQPNPC4X&marketplace=FLIPKART&q=+Health+&store=search.flipkart.com&srno=s_1_29&otracker=search&otracker1=search&fm=organic&iid=fd73e787-df77-4557-b9e0-68b26241a8c3.MDMEUJWY9ZUXGYSQ.SEARCH&ppt=None&ppn=None&ssid=hc2947kq4w0000001680697420292&qH=523c1e17376184e9,300,320,4.5,"79,312 Ratings &6,072 Reviews","51,089","18,909","5,970","1,582","1,762","6,072 Reviews",https://www.flipkart.com/horlicks-women-s-plus-calseal-formula-caramel-flavour/product-reviews/itmda148e72a3070?pid=MDMEUJWY9ZUXGYSQ&lid=LSTMDMEUJWY9ZUXGYSQPNPC4X&marketplace=FLIPKART,Not available,1,Horlicks Women's Plus,Not available,400 g,Not available,12 Months,Not available,Calseal Formula - Caramel Flavour,Not available,Not available,Not available,Not available,Not available,Not available,Not available,NA,Not available,Not available,Not available,Not available,Carton,Not available,Not available,Not available,Not available,Not available,Not available,Caramel,NA,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Lite Horlicks Regular Malt Flavour  (450 g),https://rukminim1.flixcart.com/image/612/612/kt7jv680/milk-drink-mix/a/x/5/regular-malt-flavour-flavour-plastic-bottle-lite-horlicks-original-imag6hyejvz9pewz.jpeg?q=70,https://www.flipkart.com/lite-horlicks-regular-malt-flavour/p/itmf2824dc09bb4d?pid=MDMETGN5DFK4QXSQ&lid=LSTMDMETGN5DFK4QXSQDFAZ05&marketplace=FLIPKART&q=+Health+&store=search.flipkart.com&spotlightTagId=BestsellerId_search.flipkart.com&srno=s_1_30&otracker=search&otracker1=search&fm=organic&iid=fd73e787-df77-4557-b9e0-68b26241a8c3.MDMETGN5DFK4QXSQ.SEARCH&ppt=None&ppn=None&ssid=hc2947kq4w0000001680697420292&qH=523c1e17376184e9,315,345,4.5,"19,542 Ratings &1,090 Reviews","13,767","3,560","1,153",454,608,"1,090 Reviews",https://www.flipkart.com/lite-horlicks-regular-malt-flavour/product-reviews/itmf2824dc09bb4d?pid=MDMETGN5DFK4QXSQ&lid=LSTMDMETGN5DFK4QXSQDFAZ05&marketplace=FLIPKART,Not available,1,Lite Horlicks,Not available,450 g,Not available,12 Months,Not available,Regular Malt Flavour,Not available,Not available,Not available,Not available,Not available,Not available,Not available,NA,Not available,Not available,Not available,Not available,Plastic Bottle,Not available,Not available,Not available,Not available,Not available,Not available,Classic Malt,NA,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
COMPLAN Royale Chocolate  (750 g),https://rukminim1.flixcart.com/image/612/612/xif0q/milk-drink-mix/r/j/m/-original-imaggwyfvfmdpacx.jpeg?q=70,https://www.flipkart.com/complan-royale-chocolate/p/itm43c6d8a9155b3?pid=MDMEUD8PHJFTTGRG&lid=LSTMDMEUD8PHJFTTGRGPJIGWK&marketplace=FLIPKART&q=+Health+&store=search.flipkart.com&srno=s_1_31&otracker=search&otracker1=search&fm=organic&iid=fd73e787-df77-4557-b9e0-68b26241a8c3.MDMEUD8PHJFTTGRG.SEARCH&ppt=None&ppn=None&ssid=hc2947kq4w0000001680697420292&qH=523c1e17376184e9,359,399,4.5,"43,166 Ratings &3,679 Reviews","28,791","8,991","2,931","1,030","1,423","3,679 Reviews",https://www.flipkart.com/complan-royale-chocolate/product-reviews/itm43c6d8a9155b3?pid=MDMEUD8PHJFTTGRG&lid=LSTMDMEUD8PHJFTTGRGPJIGWK&marketplace=FLIPKART,Not available,1,COMPLAN,Not available,750 g,Not available,18 Months,Not available,Royale Chocolate,Not available,Not available,Not available,Not available,Not available,Not available,Not available,NA,Not available,Not available,Not available,Not available,Carton,Not available,Not available,Not available,Not available,Not available,Not available,Chocolate,NA,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
VEDIVA Fat Cutter Fat Burner for weight loss,https://rukminim1.flixcart.com/image/612/612/xif0q/ayurvedic/a/7/p/fat-cutter-ayurvedic-formula-for-fat-burn-and-weight-loss-1-original-imagghq6yzgqxhnt.jpeg?q=70,https://www.flipkart.com/vediva-fat-cutter-burner-weight-loss/p/itm50c2b09e2cf17?pid=AYDGGRG3YHGTBG48&lid=LSTAYDGGRG3YHGTBG48BISRSQ&marketplace=FLIPKART&q=+Health+&store=search.flipkart.com&srno=s_1_32&otracker=search&otracker1=search&fm=organic&iid=en_g1DNcGCMeDqOGeGs9IZdOotS9%2FRdcD2rFkWMFoq1nCRLV3Q4uCIJRXUgh4aiwPpyevomNVaix3LIfoxlWJRNJA%3D%3D&ppt=None&ppn=None&ssid=hc2947kq4w0000001680697420292&qH=523c1e17376184e9,990,990,3.7,134 Ratings &4 Reviews,73,13,12,11,25,4 Reviews,https://www.flipkart.com/vediva-fat-cutter-burner-weight-loss/product-reviews/itm50c2b09e2cf17?pid=AYDGGRG3YHGTBG48&lid=LSTAYDGGRG3YHGTBG48BISRSQ&marketplace=FLIPKART,Not available,1,VEDIVA,Not available,60 Tablets,Not available,36 Months,"[""Quantity: 60 Tablets"",""Form: Tablets"",""Ayush License Number: 616-ISM(HR)"",""Treatment: General Wellness""]",Fat Cutter Fat Burner for weight loss,616-ISM(HR),General Wellness,Vegetarian,Tablets,No,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
"Nea Hot Water Bag with rubber for Pain Relief(PACK OF 2) Multicolors ELECTRIC 2 L Hot Water Bag  (Blue, Red, Green)",https://rukminim1.flixcart.com/image/612/612/xif0q/hot-water-bag/8/a/2/hot-water-bag-with-rubber-for-pain-relief-pack-of-2-multicolors-original-imagmnzdrfcaghaz.jpeg?q=70,https://www.flipkart.com/nea-hot-water-bag-rubber-pain-relief-pack-2-multicolors-electric-2-l/p/itm53f644708310c?pid=HWBGMNZDEZRHRWCC&lid=LSTHWBGMNZDEZRHRWCC4MAKK4&marketplace=FLIPKART&q=+Health+&store=search.flipkart.com&srno=s_1_33&otracker=search&otracker1=search&fm=organic&iid=fd73e787-df77-4557-b9e0-68b26241a8c3.HWBGMNZDEZRHRWCC.SEARCH&ppt=None&ppn=None&ssid=hc2947kq4w0000001680697420292&qH=523c1e17376184e9,180,299,4.1,372 Ratings &17 Reviews,207,80,45,10,30,17 Reviews,https://www.flipkart.com/nea-hot-water-bag-rubber-pain-relief-pack-2-multicolors-electric-2-l/product-reviews/itm53f644708310c?pid=HWBGMNZDEZRHRWCC&lid=LSTHWBGMNZDEZRHRWCC4MAKK4&marketplace=FLIPKART,2 Hot water bag,Not available,Not available,Hot water bag+Rubber(Combo Pack) 100(Blue),Not available,Not available,Not available,"[""ELECTRIC Water Bag"",""Ideal for: Men & Women"",""Leak Proof Feature"",""Capacity: 2 L""]",Hot Water Bag with rubber for Pain Relief(PACK OF 2) Multicolors,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,PVC,Not available,5 hr,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,150 g,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
Nea 2L Rubber Hot/Warm Water Bag for Pain Relief & Massager Non Electrical 2 L Hot Water Bag  (Red),https://rukminim1.flixcart.com/image/612/612/kiulxu80-0/hot-water-bag/d/d/0/rubber-hot-water-bag-warm-bag-for-pain-relief-massager-leak-original-imafyjxw94qhd4gy.jpeg?q=70,https://www.flipkart.com/nea-2l-rubber-hot-warm-water-bag-pain-relief-massager-non-electrical-2-l-hot/p/itm718f430da35cf?pid=HWBFYJXW75DAHM85&lid=LSTHWBFYJXW75DAHM85PBL2J9&marketplace=FLIPKART&q=+Health+&store=search.flipkart.com&srno=s_1_34&otracker=search&otracker1=search&fm=organic&iid=fd73e787-df77-4557-b9e0-68b26241a8c3.HWBFYJXW75DAHM85.SEARCH&ppt=None&ppn=None&ssid=hc2947kq4w0000001680697420292&qH=523c1e17376184e9,149,600,4,"36,630 Ratings &2,970 Reviews","17,777","9,440","5,190","1,835","2,388","2,970 Reviews",https://www.flipkart.com/nea-2l-rubber-hot-warm-water-bag-pain-relief-massager-non-electrical-2-l-hot/product-reviews/itm718f430da35cf?pid=HWBFYJXW75DAHM85&lid=LSTHWBFYJXW75DAHM85PBL2J9&marketplace=FLIPKART,1 hot water bag,1,Not available,HWBR - 1,Not available,Not available,Not available,"[""Non Electrical Water Bag"",""Ideal for: Men & Women"",""Capacity: 2 L""]",2L Rubber Hot/Warm Water Bag for Pain Relief & Massager,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,"Latex, Rubber",Both Side Ribbed,5 - 7 Hrs hr,NA,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,0 min,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available
